"Table A-1: U.S. MD-Granting Medical School Applications and Matriculants by School, State of Legal Residence, and Gender, Academic Year 2025-2026",,,,,,,,,,,
,,,,,,,,,,,
"The table below displays the number of 2025-2026 applications and matriculants by U.S. MD-granting medical schools, showing the percent of in state, out of state, women, and men. Please email datarequest@aamc.org if you need further assistance or have additional inquiries.",,,,,,,,,,,
,,,,,,,,,,,
Applications by School,,Applications1,Applications,,,,Matriculants,Matriculants,,,
,Wake Forest,"12,800",8.0,92.0,44.0,55.7,194,25.3,74.7,47.9,52.1
ND,North Dakota,"1,864",5.8,94.2,46.6,53.0,75,64.0,36.0,57.3,41.3
NE,Creighton,"6,162",2.9,97.1,51.9,47.8,250,4.0,96.0,42.8,57.2
,Nebraska,"2,311",13.2,86.8,50.1,49.3,142,84.5,15.5,52.8,47.2
NH,Dartmouth-Geisel,"10,330",1.0,99.0,45.5,53.8,96,4.2,95.8,42.7,57.3
NJ,Cooper Rowan,"4,619",28.7,71.3,40.3,59.0,118,72.0,28.0,51.7,47.5
,Hackensack Meridian,"5,708",21.6,78.4,44.4,55.0,166,58.4,41.6,47.6,52.4
,Rutgers New Jersey,"6,479",24.2,75.8,40.1,59.2,174,83.3,16.7,42.0,56.9
,Rutgers-RW Johnson,"5,112",29.7,70.3,40.1,59.3,165,72.1,27.9,37.0,63.0
NM,New Mexico,"1,719",11.5,88.5,46.4,53.2,103,78.6,21.4,44.7,52.4
NV,Nevada Reno,"2,382",10.7,89.3,45.9,53.7,72,65.3,34.7,44.4,55.6
,Roseman,792,15.5,84.5,46.1,53.7,64,18.8,81.3,45.3,54.7
,UNLV-Kerkorian,"2,375",10.0,90.0,49.9,49.6,66,74.2,25.8,54.5,45.5
NY,Albany,"14,157",14.6,85.4,42.2,57.2,141,33.3,66.7,44.7,54.6
,Buffalo-Jacobs,"6,264",34.6,65.4,42.2,57.2,186,91.4,8.6,48.9,51.1
,CUNY,59,98.3,1.7,33.9,66.1,59,98.3,1.7,33.9,66.1
,Columbia-Vagelos,"7,677",15.3,84.7,44.2,54.7,138,11.6,88.4,47.8,51.4
,Cornell-Weill,"8,599",16.6,83.4,45.0,54.0,106,33.0,67.0,42.5,57.5
,Einstein,"14,035",15.0,85.0,43.0,56.2,148,47.3,52.7,35.8,62.8
,Mount Sinai-Icahn,"9,551",16.9,83.1,43.3,55.7,128,26.6,73.4,46.1,53.9
,NYU Long Island-Grossman,"4,738",24.6,75.4,37.1,61.9,24,62.5,37.5,41.7,58.3
,NYU-Grossman,"8,385",14.0,86.0,41.1,58.0,99,21.2,78.8,49.5,50.5
,New York Medical,"9,525",21.6,78.4,42.5,56.9,233,60.1,39.9,47.2,51.9
,Renaissance Stony Brook,"5,689",37.1,62.9,42.0,57.2,141,86.5,13.5,34.0,66.0
,Rochester,"5,891",21.8,78.2,46.7,52.5,103,27.2,72.8,43.7,54.4
,SUNY Downstate,"7,490",33.4,66.6,38.2,61.0,197,84.3,15.7,44.7,54.8
,SUNY Upstate-Norton,"6,198",36.1,63.9,40.9,58.5,182,75.8,24.2,41.2,58.8
,Zucker Hofstra Northwell,"5,368",30.4,69.6,43.5,55.7,104,57.7,42.3,47.1,51.9
OH,Case Western Reserve,"9,454",8.4,91.6,46.7,52.5,216,15.3,84.7,46.8,52.8
,Cincinnati,"6,636",17.1,82.9,49.1,50.2,175,62.9,37.1,51.4,48.6
,Northeast Ohio,"4,883",23.2,76.8,44.5,55.2,197,81.2,18.8,59.4,40.1
,Ohio State,"8,685",13.7,86.3,49.1,50.3,211,57.8,42.2,45.5,53.6
,Toledo,"6,637",17.6,82.4,46.0,53.5,175,63.4,36.6,49.1,49.7
,Wright State-Boonshoft,"5,986",19.0,81.0,43.3,56.3,128,71.9,28.1,38.3,59.4
OK,Oklahoma,"2,590",13.1,86.9,45.8,53.7,202,55.0,45.0,52.5,47.0
OR,Oregon,"7,114",6.6,93.4,41.9,56.9,150,76.0,24.0,29.3,69.3
PA,Drexel,"16,547",6.9,93.1,41.3,58.1,305,14.8,85.2,39.3,59.3
,Geisinger Commonwealth,"6,964",13.7,86.3,42.2,57.3,124,73.4,26.6,46.8,51.6
,Jefferson-Kimmel,"12,033",9.5,90.5,44.5,54.8,286,30.4,69.6,45.1,54.2
,Penn State,"14,288",8.3,91.7,42.8,56.7,150,43.3,56.7,48.0,51.3
,Pennsylvania-Perelman,"7,097",8.4,91.6,44.9,53.9,153,11.8,88.2,51.0,49.0
,Pittsburgh,"11,887",8.7,91.3,46.2,52.9,151,31.8,68.2,47.0,51.7
,Temple-Katz,"14,278",8.2,91.8,41.7,57.7,227,41.4,58.6,40.1,59.9
PR,Caribe,"1,204",46.3,53.7,41.0,58.6,75,92.0,8.0,37.3,62.7
,Ponce,"2,255",25.2,74.8,42.0,57.5,194,57.7,42.3,43.3,56.2
,Puerto Rico,801,43.6,56.4,41.1,58.7,105,94.3,5.7,38.1,61.9
,San Juan Bautista,"1,553",32.0,68.0,41.5,58.1,69,68.1,31.9,44.9,53.6
RI,Brown-Alpert,"9,186",0.9,99.1,42.7,56.3,144,10.4,89.6,45.1,52.8
SC,MU South Carolina,"3,413",16.8,83.2,41.8,57.8,179,91.1,8.9,45.3,54.2
,South Carolina Columbia,"3,011",17.3,82.7,42.4,57.4,99,75.8,24.2,46.5,53.5
,South Carolina Greenville,"4,157",12.7,87.3,39.8,60.0,110,66.4,33.6,30.9,69.1
SD,South Dakota-Sanford,"1,076",12.0,88.0,51.0,48.6,71,78.9,21.1,43.7,56.3
TN,Belmont-Frist,"2,831",15.2,84.8,42.3,57.5,54,22.2,77.8,53.7,46.3
,East Tennessee-Quillen,"4,009",15.5,84.5,42.7,57.1,78,82.1,17.9,43.6,55.1
,Meharry,"7,949",4.0,96.0,35.2,64.4,115,11.3,88.7,53.0,47.0
,Tennessee,"2,744",24.1,75.9,44.9,54.4,174,89.1,10.9,50.6,48.9
,Vanderbilt,"7,685",5.0,95.0,46.5,52.8,95,6.3,93.7,46.3,52.6
TX,Baylor,"6,073",72.4,27.6,45.9,53.8,224,87.5,12.5,47.3,51.8
,Houston-Fertitta,"5,247",81.7,18.3,43.6,56.2,60,93.3,6.7,23.3,76.7
,TCU-Burnett,"6,273",22.6,77.4,46.0,53.8,60,18.3,81.7,45.0,55.0
,Texas A&M-Vashisht,"6,086",76.1,23.9,45.8,53.9,200,84.5,15.5,47.0,53.0
,Texas Tech,"5,348",81.8,18.2,45.7,54.1,182,95.6,4.4,50.0,49.5
,Texas Tech-Foster,"4,811",83.2,16.8,45.1,54.7,130,90.0,10.0,56.2,43.8
,UT Austin-Dell,"5,684",79.6,20.4,44.9,54.9,50,98.0,2.0,54.0,44.0
,UT Medical Branch-Sealy,"5,450",82.3,17.7,44.7,55.1,230,90.0,10.0,51.3,48.7
,UT Rio Grande Valley,"4,789",83.5,16.5,44.5,55.3,55,96.4,3.6,49.1,50.9
,UT San Antonio-Long,"5,774",79.0,21.0,45.5,54.3,232,87.5,12.5,53.0,47.0
,UT Southwestern,"6,025",75.3,24.7,46.0,53.7,229,87.8,12.2,43.2,56.8
,UT Tyler,"4,990",82.7,17.3,43.9,55.9,40,95.0,5.0,47.5,52.5
,UTHealth Houston-McGovern,"6,104",76.6,23.4,45.3,54.5,240,94.2,5.8,50.0,49.2
UT,Utah-Eccles,"3,085",17.9,82.1,51.5,47.7,125,72.8,27.2,46.4,52.8
VA,Eastern Virginia ODU,"7,613",14.9,85.1,45.0,54.6,151,50.3,49.7,46.4,53.0
,Virginia,"7,148",14.0,86.0,46.5,52.9,156,51.9,48.1,41.7,57.7
,Virginia Commonwealth,"8,306",14.1,85.9,44.6,54.8,184,63.0,37.0,37.5,61.4
,Virginia Tech Carilion,"6,370",14.3,85.7,44.3,55.1,55,21.8,78.2,29.1,70.9
VT,Vermont-Larner,"10,377",0.7,99.3,42.8,56.4,122,26.2,73.8,44.3,52.5
WA,U Washington,"5,275",17.6,82.4,44.5,54.2,280,51.4,48.6,40.0,58.6
,Washington State-Floyd,"1,574",51.3,48.7,42.9,56.4,80,100.0,0.0,40.0,60.0
WI,MC Wisconsin,"10,711",6.6,93.4,45.3,54.2,274,51.5,48.5,43.4,56.2
,Wisconsin,"7,744",9.1,90.9,44.6,54.6,171,74.9,25.1,39.8,60.2
WV,Marshall-Edwards,"3,026",4.3,95.7,45.5,54.3,82,57.3,42.7,47.6,51.2
WV,West Virginia,"6,314",2.3,97.7,48.9,50.8,115,47.8,52.2,56.5,43.5
Total,,"1,066,896",22.0,78.0,43.6,55.7,"23,440",59.3,40.7,44.4,55.0
"¹1,066,896 is the number of applications from 54,699 applicants, an average of 19.5 applications per applicant.",,,,,,,,,,,
"²Applicants who reported ""Another Gender Identity"" and declined to report gender are only reflected in the Total row.",,,,,,,,,,,
"Note: Each academic year includes applicants and matriculants who applied to enter medical school in the fall of the given year. For example, academic year 2025-2026 represents the applicants ",,,,,,,,,,,
and matriculants who applied to enter medical school during the fall of 2025.,,,,,,,,,,,
